"path","kind","side","reason","observation_type"
"data/minecraft/trade_set/fletcher","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/fletcher/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/fletcher/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/fletcher/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/fletcher/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/fletcher/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/leatherworker","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/leatherworker/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/leatherworker/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/leatherworker/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/leatherworker/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/leatherworker/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/librarian","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/librarian/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/librarian/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/librarian/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/librarian/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/librarian/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/mason","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/mason/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/mason/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/mason/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/mason/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/mason/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/shepherd","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/shepherd/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/shepherd/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/shepherd/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/shepherd/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/shepherd/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/toolsmith","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/toolsmith/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/toolsmith/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/toolsmith/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/toolsmith/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/toolsmith/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/wandering_trader","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/wandering_trader/buying.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/wandering_trader/common.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/wandering_trader/uncommon.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/weaponsmith","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/weaponsmith/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/weaponsmith/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/weaponsmith/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/weaponsmith/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/weaponsmith/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
