"source_file","source_kind","source_location","relation","target","target_kind","resolution_status","reason","observation_type"
"data/main/function/mechanic/warding_stone/warding_stone_effects.mcfunction","functions","line:3","namespace-reference","#main:warding_stone_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/mechanic/warding_stone/warding_stone_effects.mcfunction","functions","line:5","namespace-reference","#main:warding_stone_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/mechanic/warding_stone/warding_stone_effects.mcfunction","functions","line:6","namespace-reference","#main:warding_stone_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/banner_pattern/no_item_required.json","tags","$.values[0]","tag-membership","main:classic_pride","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/banner_pattern/no_item_required.json","tags","$.values[1]","tag-membership","main:common_pride","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/banner_pattern/no_item_required.json","tags","$.values[2]","tag-membership","main:new_pride","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/banner_pattern/no_item_required.json","tags","$.values[3]","tag-membership","main:trans_pride","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/banner_pattern/no_item_required.json","tags","$.values[4]","tag-membership","main:ace_pride","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/banner_pattern/no_item_required.json","tags","$.values[5]","tag-membership","main:bi_pride","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/banner_pattern/no_item_required.json","tags","$.values[6]","tag-membership","main:inclusive_pride","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/banner_pattern/no_item_required.json","tags","$.values[7]","tag-membership","main:lesbian_pride","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/banner_pattern/no_item_required.json","tags","$.values[8]","tag-membership","main:nb_pride","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/banner_pattern/no_item_required.json","tags","$.values[9]","tag-membership","main:actup","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/function/load.json","tags","$.values[0]","tag-membership","main:setup/load","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/minecraft/tags/function/tick.json","tags","$.values[0]","tag-membership","main:setup/tick","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
