project_name,project_id,role,exact_version,minecraft_version,loader,environment,release_type,release_date,last_meaningful_update,maintenance_signals,source_available,license,redistribution_rules,required_dependencies,configuration_quality,documented_api,multiplayer_support,dedicated_server_support,performance_risk,save_persistence,removal_consequence,worldgen_impact,matcha_overlap,overlap_with_other_candidates,known_conflicts,documentation_quality,guidebook_or_advancement_noise,custom_patch_likely,decision,confidence,rationale,authoritative_sources
Roguelike Dungeons,MFpvbNGE,exploration,fabric-2.1.2+mc26.2 [FIYUpGUY],26.2,fabric,server_only,release,2026-07-05T21:26:31.506186Z,2026-07-05,Modrinth metadata updated 2026-07-05; source repository push 2026-07-05; issue endpoint HTTP 403.,yes (public source link),GPL-3.0-only,Redistribution is permitted under GPL-3.0-only with notices and corresponding-source obligations as applicable.,Fabric API,documented,no,server-side,yes,high,generated dungeons and loot,very high,high,"high, repeatable loot and exploration overlap","Lootr, Dungeons and Taverns, other structure packs","Large procedural structures and randomized loot need bounded generation, spacing and unique-discovery review; current source commit signal was not returned by the checked endpoint",good,low,likely,COMPATIBILITY_SPIKE,HIGH,"Roguelike Dungeons has a stable 26.2 server release and a public source repository, but procedural dungeons and randomized loot can recreate repeatable loot farming. It requires an explicit parity and density spike.",https://api.modrinth.com/v2/project/MFpvbNGE;https://api.modrinth.com/v2/project/MFpvbNGE/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Greymerk/minecraft-roguelike;https://github.com/Greymerk/minecraft-roguelike;https://api.github.com/repos/Greymerk/minecraft-roguelike;https://api.github.com/repos/Greymerk/minecraft-roguelike/commits?per_page=10;https://api.github.com/repos/Greymerk/minecraft-roguelike/issues?state=all&per_page=5
Sparse Structures,qwvI41y9,exploration,3.1.4 [iPGkJT7H],26.2,fabric,server_only,release,2026-07-11T11:58:25.474721Z,2026-07-11,Modrinth metadata updated 2026-07-11; source repository metadata returned HTTP 403; issue endpoint HTTP 403.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Fabric API,clear,no,server-side,yes,medium,configuration and structure placement rules,high,moderate,low,"All structure packs, especially Dungeons and Taverns and Roguelike Dungeons","Changes all structure spacing, including datapack structures; source endpoint returned limited metadata, so verify the exact build and seed behaviour",good,none,possible,PILOT,HIGH,"Sparse Structures is a focused 26.2 server tool that can reduce structure density across vanilla, datapack and modded structures. It is a useful conservative-control candidate, but must be tested after the chosen structure set is known.",https://api.modrinth.com/v2/project/qwvI41y9;https://api.modrinth.com/v2/project/qwvI41y9/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/MaxenceDC/sparsestructures;https://github.com/MaxenceDC/sparsestructures;https://api.github.com/repos/MaxenceDC/sparsestructures;https://api.github.com/repos/MaxenceDC/sparsestructures/commits?per_page=10;https://api.github.com/repos/MaxenceDC/sparsestructures/issues?state=all&per_page=5;https://github.com/MaxenceDC/sparsestructures/blob/main/LICENSE
Structory,aKCwCJlY,exploration,1.3.17 [TUbwu7eG],26.2,fabric,server_only,release,2026-07-08T22:09:05.844755Z,2026-07-08,Modrinth metadata updated 2026-07-08; source repository metadata returned HTTP 403; recent issue records observed.,yes (public source link),LicenseRef-Stardust-Labs-License,Follow the Stardust Labs licence text and obtain a redistribution review before release.,None declared in selected version record,documented,no,server-side,yes,high,generated structures and loot,very high,high,"moderate, structure and discovery overlap","Dungeons and Taverns, Roguelike Dungeons, Towns and Towers, Moog structures",Custom Stardust Labs licence; structures added to existing worlds only affect new chunks; source API access was limited during this check,strong,low,possible,PILOT,HIGH,"Structory has a stable 26.2 server release, a public source link and documented removal of individual parts. Its atmospheric scope is more restrained than large dungeon packs, but custom licensing and chunk-generation effects still require a fresh-world pilot.",https://api.modrinth.com/v2/project/aKCwCJlY;https://api.modrinth.com/v2/project/aKCwCJlY/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Stardust-Labs-MC/Structory;https://github.com/Stardust-Labs-MC/Structory;https://api.github.com/repos/Stardust-Labs-MC/Structory;https://api.github.com/repos/Stardust-Labs-MC/Structory/commits?per_page=10;https://api.github.com/repos/Stardust-Labs-MC/Structory/issues?state=all&per_page=5;https://github.com/Stardust-Labs-MC/license/blob/main/license.txt
Towns and Towers,DjLobEOy,exploration,1.13.11 [eN3WLQ3P],26.2,fabric,server_only_client_optional,release,2026-04-06T18:55:24.104421Z,2026-08-15,Modrinth metadata updated 2026-08-15; no source_url supplied.,no (no source_url supplied),CC-BY-NC-SA-4.0,"Attribution, non-commercial use and share-alike obligations apply; review pack distribution and adaptations.",Cristel Lib,limited,no,server with optional client,yes,high,"generated villages, ships and structures",very high,high,"moderate, settlement and structure overlap","Dungeons and Taverns, Structory, Repurposed Structures, Moog structures",CC-BY-NC-SA-4.0; no source_url; exact 26.2 release is older than the newest project upload and needs provenance verification,mixed,low,likely,DEFER,HIGH,"Towns and Towers has a real 26.2 server-compatible release, but the selected build dates from April, the project has no source_url, and its CC-BY-NC-SA structures overlap heavily with other worldgen candidates.",https://api.modrinth.com/v2/project/DjLobEOy;https://api.modrinth.com/v2/project/DjLobEOy/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D
Better Combat,5sy6g3kz,framework,3.2.2+26.2-fabric [enlZuzkJ],26.2,fabric,client_and_server,release,2026-07-22T14:02:47.398670Z,2026-07-31,Modrinth metadata updated 2026-07-22; latest source commit 2026-07-31: Merge pull request #613 from Ch1sho/patch-1; issue endpoint HTTP 403.,yes (public source link),LicenseRef-All-Rights-Reserved (All rights reserved),All rights reserved; private development is not a redistribution grant. Obtain permission or replace before release.,Player Animation Library; Fabric API; Cloth Config API,documented,partial,server and client,yes,high,configuration and weapon/combat behaviour,high,none,"moderate, combat and weapon overlap","Matcha combat, animation libraries","All-Rights-Reserved; requires Player Animation Library, Fabric API and Cloth Config API; broad attack changes need weapon compatibility review",good,low,possible,COMPATIBILITY_SPIKE,HIGH,"Better Combat has a stable 26.2 release and active source work, but its broad melee overhaul and All-Rights-Reserved licence make it a combat conversion candidate rather than a harmless framework. Test against Matcha weapons and ordinary survival first.",https://api.modrinth.com/v2/project/5sy6g3kz;https://api.modrinth.com/v2/project/5sy6g3kz/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/ZsoltMolnarrr/BetterCombat;https://github.com/ZsoltMolnarrr/BetterCombat;https://api.github.com/repos/ZsoltMolnarrr/BetterCombat;https://api.github.com/repos/ZsoltMolnarrr/BetterCombat/commits?per_page=10;https://api.github.com/repos/ZsoltMolnarrr/BetterCombat/issues?state=all&per_page=5
Blueprint (API),9iM1qJq3,framework,No 26.2 Fabric release. Newest observed: 1.17.9+1.21.11 [VsOCWDHW],1.21.11,fabric,client_or_server_prefers_both,release,2026-01-04T19:25:54.927123Z,2026-01-04,Modrinth metadata updated 2026-01-04; latest source commit 2026-01-04: chore: 1.21.11; issue endpoint HTTP 403.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Fabric Language Kotlin; Fabric API; Slate,documented,yes,client and server,yes,high,blueprint files and saved structure editor state,high,none,low,"Litematica, AutoBuild, Axiom, building APIs","No 26.2 Fabric release observed; requires Fabric Language Kotlin, Fabric API and Slate in the newest observed build",good,none,possible,DEFER,HIGH,"Blueprint is a real structure API with a public Maven/source surface, but the newest observed Fabric release is 1.21.11 and requires Fabric Language Kotlin and Slate. It is not a 26.2 candidate yet. No 26.2 Fabric release was observed, so the newest compatible record is shown without substitution.",https://api.modrinth.com/v2/project/9iM1qJq3;https://api.modrinth.com/v2/project/9iM1qJq3/version?loaders=%5B%22fabric%22%5D;https://github.com/mcbrawls/blueprint;https://github.com/mcbrawls/blueprint;https://api.github.com/repos/mcbrawls/blueprint;https://api.github.com/repos/mcbrawls/blueprint/commits?per_page=10;https://api.github.com/repos/mcbrawls/blueprint/issues?state=all&per_page=5
Field journal,YKY6dEN5,framework,"V1 [Favlvt7I] (datapack, not a Fabric mod)",26.1.2 and earlier listed versions,datapack,server datapack,release,2026-04-12T11:40:22.536807Z,2026-04-12,Modrinth metadata updated 2026-04-12; no source_url supplied.,no (no source_url supplied),Apache-2.0,"Redistribution is permitted under Apache-2.0 with notices, attribution and licence text retained.",None declared in selected version record,none,no,server datapack,yes,low,player discovery/advancement data,high,none,"moderate, exploration discovery overlap","Many Roads unified Field Journal, guide frameworks, advancement surfaces","Datapack only, no Fabric loader; automatic toast notifications and six-book crafting compete with the unified knowledge contract",limited,high,no,REJECT,HIGH,Field journal is a datapack rather than a Fabric mod and its automatic rare-biome toasts duplicate the intended unified Field Journal surface. It has no 26.2 Fabric release and would add disconnected discovery noise.,https://api.modrinth.com/v2/project/YKY6dEN5;https://api.modrinth.com/v2/project/YKY6dEN5/version?limit=100
GuideME,Ck4E7v7R,framework,No Fabric release observed; newest project metadata reaches 26.1.2 on Forge/NeoForge,26.1.2 (Forge/NeoForge project metadata),"forge,neoforge (not Fabric)",client and server,not applicable to Fabric,unknown,2026-08-15,Modrinth metadata updated 2026-07-12; source repository push 2026-08-15; issue endpoint HTTP 403.,yes (public source link),LicenseRef-Multiple-OSS-Licenses,Follow each bundled open-source licence and retain all notices and attribution material.,No Fabric version record,documented,yes,server and client,yes,medium,guide content and book configuration,medium,none,"low, documentation surface only","Modonomicon, Patchouli, GuideNH",No Fabric release observed; project metadata lists Forge/NeoForge; would require a loader decision before any spike,strong,high,possible,DEFER,HIGH,"GuideME provides a strong Markdown, recipe and 3D-scene API, but Modrinth lists Forge/NeoForge rather than Fabric and no Fabric version was observed. It remains an alternative design reference, not a 26.2 dependency.",https://api.modrinth.com/v2/project/Ck4E7v7R;https://api.modrinth.com/v2/project/Ck4E7v7R/version?loaders=%5B%22fabric%22%5D;https://github.com/AppliedEnergistics/GuideME/;https://github.com/AppliedEnergistics/GuideME;https://api.github.com/repos/AppliedEnergistics/GuideME;https://api.github.com/repos/AppliedEnergistics/GuideME/commits?per_page=10;https://api.github.com/repos/AppliedEnergistics/GuideME/issues?state=all&per_page=5;https://github.com/AppliedEnergistics/GuideME/blob/main/LICENSE.MD
GuideNH,pbqQIzo4,framework,"1.3.14 [wnkhpOLC] (Forge 1.7.10, not Fabric)",1.7.10,forge (not Fabric),client and server,release,2026-07-12T04:49:34.398133Z,2026-07-12,Modrinth metadata updated 2026-07-12; source repository metadata returned HTTP 403; issue endpoint HTTP 403.,yes (public source link),LGPL-3.0-only,Redistribution is permitted under LGPL-3.0-only with notices and applicable source/relinking obligations.,None declared in selected version record,documented,yes,server and client,yes,unknown/high,guide content and book configuration,medium,none,low,"GuideME, Modonomicon, Patchouli",Newest observed release is Forge 1.7.10; similarly named but not a maintained Fabric 26.2 substitute,limited,high,no,REJECT,HIGH,GuideNH is an actively uploaded but Forge-only 1.7.10 project in the observed Modrinth record. It is not a credible 26.2 Fabric candidate and should not be mistaken for the similarly named GuideME ecosystem.,https://api.modrinth.com/v2/project/pbqQIzo4;https://api.modrinth.com/v2/project/pbqQIzo4/version?limit=100;https://github.com/GTNewHorizons/GuideNH;https://github.com/GTNewHorizons/GuideNH;https://api.github.com/repos/GTNewHorizons/GuideNH;https://api.github.com/repos/GTNewHorizons/GuideNH/commits?per_page=10;https://api.github.com/repos/GTNewHorizons/GuideNH/issues?state=all&per_page=5
Lootr,EltpO5cN,framework,1.24.39.121 [k00AgeE7],26.2,fabric,client_and_server,release,2026-07-28T13:46:31.585880Z,2026-08-21,Modrinth metadata updated 2026-08-21; source repository metadata returned HTTP 403; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Fabric API,documented,partial,server and client,yes,high,per-player loot and persistent container state,very high,"none, but structure integration is broad","high, loot and multiplayer exploration overlap","Roguelike Dungeons, Dungeons and Taverns and other structure packs","Per-player loot can undermine shared landmark meaning; test duplicate chests, hopper interaction, restart recovery and structure compatibility",good,low,likely,PILOT,HIGH,"Lootr has a stable 26.2 release, MIT licence and public issue handling. Its per-player loot state could support multiplayer exploration, but it changes persistent container semantics and must be tested with the chosen structure set and Matcha.",https://api.modrinth.com/v2/project/EltpO5cN;https://api.modrinth.com/v2/project/EltpO5cN/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/noobanidus/lootr;https://github.com/noobanidus/lootr;https://api.github.com/repos/noobanidus/lootr;https://api.github.com/repos/noobanidus/lootr/commits?per_page=10;https://api.github.com/repos/noobanidus/lootr/issues?state=all&per_page=5
Modonomicon,692GClaE,framework,26.2-2.4.0 [VI4rtcu3],26.2,fabric,client_and_server,release,2026-08-08T06:55:29.873818Z,2026-08-08,Modrinth metadata updated 2026-08-08; source repository push 2026-08-08; issue endpoint HTTP 403.,yes (public source link),MIT AND CC-BY-4.0,Retain MIT notices and provide CC-BY-4.0 attribution for the covered material.,Just Enough Items (JEI) (optional),documented,yes,server and client,yes,medium,"guide content, book items and configuration",high,none,"low, documentation surface only","Patchouli, GuideME, Field journal, Icy's Better Horses",Creates a separate guidebook surface; mixed MIT AND CC-BY-4.0 licence; required by Icy's Better Horses in its 26.2 record,strong,high,possible,COMPATIBILITY_SPIKE,HIGH,"Modonomicon has a stable 26.2 release and a documented data/API surface, but it creates another book UI and its mixed MIT/CC-BY-4.0 licensing needs provenance review. Spike it only as a possible Field Journal substrate.",https://api.modrinth.com/v2/project/692GClaE;https://api.modrinth.com/v2/project/692GClaE/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/klikli-dev/modonomicon;https://github.com/klikli-dev/modonomicon;https://api.github.com/repos/klikli-dev/modonomicon;https://api.github.com/repos/klikli-dev/modonomicon/commits?per_page=10;https://api.github.com/repos/klikli-dev/modonomicon/issues?state=all&per_page=5;https://github.com/klikli-dev/modonomicon#licensing
Patchouli,nU0bVIaL,framework,No 26.2 Fabric release. Newest observed: 26.1-94-beta [AveV4Tjn],"26.1, 26.1.1, 26.1.2",fabric,client_and_server,beta,2026-07-10T06:27:30.378247Z,2026-07-10,Modrinth metadata updated 2026-07-10; source repository push 2026-07-10; recent issue records observed.,yes (public source link),CC-BY-NC-SA-3.0,"Attribution, non-commercial use and share-alike obligations apply; review pack distribution and adaptations.",Fabric API,documented,yes,server and client,yes,medium,"guide content, book items and configuration",high,none,"low, documentation surface only","Modonomicon, GuideME, Field journal",No 26.2 Fabric release observed; CC-BY-NC-SA-3.0; advancement-driven unlocking may conflict with Principle 2 if not curated,strong,high,possible,DEFER,HIGH,"Patchouli remains a mature data-driven guide framework with a public API, but the newest observed Fabric build is a 26.1 beta. Its advancement-driven books also risk duplicating the unified Field Journal. No 26.2 Fabric release was observed, so the newest compatible record is shown without substitution.",https://api.modrinth.com/v2/project/nU0bVIaL;https://api.modrinth.com/v2/project/nU0bVIaL/version?loaders=%5B%22fabric%22%5D;https://github.com/VazkiiMods/Patchouli/;https://github.com/VazkiiMods/Patchouli;https://api.github.com/repos/VazkiiMods/Patchouli;https://api.github.com/repos/VazkiiMods/Patchouli/commits?per_page=10;https://api.github.com/repos/VazkiiMods/Patchouli/issues?state=all&per_page=5
