system_id,category,source_files,observed_behavior,vanilla_behavior_replaced,inferred_purpose,player_ux,mod_compatibility_risk,persistence_risk,multiplayer_risk,keep,extend,override,replace_eventually,undecided,rationale,required_tests,notes
matcha.mob_drops,loot,"data/main/function/mechanic/spawn_mechanic/easy_modifications.mcfunction;data/main/function/mechanic/spawn_mechanic/normal_modifications.mcfunction;data/main/function/mechanic/spawn_mechanic/hard_modifications.mcfunction;data/minecraft/loot_table/entities/shulker.json;data/minecraft/loot_table/entities/wither_skeleton.json;data/minecraft/loot_table/entities/zombie_villager.json","Static source: difficulty modification functions set drop_chances to zero for mundane_hostiles, zombified_piglins, and piglins, and alter hostile attributes. Entity loot tables use killed_by_player, looting, random chance, and set_count functions for outputs.",partial,"Inference: The source appears intended to control equipment drops and make difficulty affect hostile combat and rewards. Confidence: medium.",mixed,high,medium,medium,,,x,,,"Override is required for item preservation, duplicate prevention, and future equipment identity. Preserve unknown loot instead of discarding it when the adapter is unavailable.","Direct and indirect kills, looting/luck, automation, quantities, rare branches, disguised outputs, vanilla control, absent resource pack, and unsupported profile.","Evidence: generated/matcha/1.12/functions.json and loot-tables.json. Static drop_chances do not prove final loot outcomes without a runtime trace."
matcha.villagers,villagers,"data/main/tags/entity_type/villager_friends.json;data/main/function/environmental/village_eerie_sound.mcfunction;data/main/function/environmental/kill_village_entity.mcfunction;data/main/function/environmental/village_entity_movement.mcfunction;data/minecraft/tags/villager_trade/armorer/custom_level_1.json;data/minecraft/trade_set/armorer/level_1.json","Static source: villager_friends includes villagers, wandering_traders, golems, wolves, cats, and players. Environmental village functions target mannequins and markers for movement, sounds, and cleanup. Profession trade tag families and trade_set files exist, but no source reviewed here stores a Matcha career, rank, or villager knowledge field.",unknown,"Inference: The source may use villagers as a protected or friendly target group and as a carrier for custom offers, but the per-villager versus world scope is not established. Confidence: low.",unknown,high,high,high,,,,,x,"Evidence is insufficient to classify mortality, schedules, careers, unload, and rejoin behaviour. Keep this decision debt visible rather than treating tags as a full villager system.","Named/new/transported villager; workstation and schedule; death; unload/rejoin; two players; vanilla control; absent and unsupported Matcha; inspect all career records.","Evidence: generated/matcha/1.12/tags.json, functions.json, unknown-paths.csv. Trade-set semantics are listed as unknown by the audit, so a runtime trace and format review are required."
matcha.trades,economy,"data/minecraft/trade_set/armorer/level_1.json;data/minecraft/trade_set/cleric/level_3.json;data/minecraft/villager_trade/armorer/1/comparator.json;data/minecraft/villager_trade/cartographer/3/abbey.json;data/minecraft/tags/villager_trade/armorer/custom_level_1.json;data/minecraft/tags/villager_trade/wandering_trader/maps.json","Static source: trade_set profession files point to villager_trade tag families. Individual offers define wants, gives, max_uses, and xp. The armorer comparator offer wants one emerald and gives 64 comparators. The cartographer abbey offer creates an exploration map, names it, and assigns an item_model. The audit classifies trade_set paths as unknown.",partial,"Inference: The source appears intended to extend villager and wandering-trader offers with high-volume material, map, and custom-content trades. Confidence: medium.",mixed,high,high,high,,,,,x,"The offer source is real, but loader semantics, restock, price changes, ownership, and per-villager scope have not been observed. Do not infer a stable economy contract from filenames.","Offer creation, repeated trades, max uses, restock while unloaded, failed trades, discounts, two players, ordinary offers, vanilla control, absent and unsupported Matcha.","Evidence: generated/matcha/1.12/tags.json, unknown-paths.csv, and cross-references.json. Exact runtime trade loading remains an open question."
matcha.obols_currency,economy,"data/main/advancement/recipe_unlocks/obol.json;data/main/advancement/tutorial/obtain_obol.json;data/minecraft/loot_table/archaeology/abbey/grave.json;data/minecraft/villager_trade/armorer/1/comparator.json","Static source: the obol recipe-unlock and tutorial advancements trigger on minecraft:emerald. The abbey grave loot table includes emerald. No Obol purse, balance scoreboard, deposit, withdrawal, transfer, overflow guard, or dedicated currency item source was observed.",partial,"Inference: Emerald appears to be used as a currency-like tutorial and trade input, while the evidence does not establish a separate Obol representation. Confidence: medium.",mixed,high,high,high,,,,x,,"Forever ADR 0008 calls for a hybrid physical and purse economy, so the emerald-based substrate should be replaced eventually through a migration-safe stable currency concept rather than guessed in the adapter.","Full purse, dropped currency, container, death, relog, trade transfer, two-player transfer, duplication and overflow, vanilla emerald control, absent and unsupported Matcha.","Evidence: generated/matcha/1.12/advancements.json and loot-tables.json. No source path establishes that every emerald is an Obol, so ordinary emeralds must remain ordinary until a signature is proven."
matcha.shulkers,storage,"data/blessings/recipe/silk_touch.json;data/minecraft/loot_table/entities/shulker.json;assets/minecraft/models/block/shulker_box.json;data/crafting/recipe/sack.json;assets/minecraft/models/item/shulker_spawn_egg.json","Static source: silk_touch blessing consumes a shulker_shell. The shulker entity loot table returns a shulker_box after killed_by_player and a looting-sensitive random chance. Shulker block/item model resources and a sack recipe are present. No Matcha function specifically prohibits nesting or copies shulker contents.",none,"Inference: Matcha appears to leave core shulker storage behaviour to vanilla while adding related recipes and presentation. Confidence: low.",additive,medium,high,medium,x,,,,,"Keep provisionally because no replacement of container semantics was traced. Revisit when Forever container-safety rules and any translated item movement are implemented.","Shulker in every relevant container; translated item inside shulker; break/place; dimensions; missing resource pack; vanilla control; absent and unsupported Matcha.","Evidence: generated/matcha/1.12/loot-tables.json, assets.json, and recipes.json. The absence of a nesting hook is static evidence only, not a runtime guarantee."
matcha.loot,loot,"data/minecraft/loot_table/chests/abbey/tower.json;data/minecraft/loot_table/entities/shulker.json;data/minecraft/loot_table/blocks/campfire.json;data/minecraft/loot_table/archaeology/abbey/grave.json;data/minecraft/loot_table/chests/nether_bridge.json","Static source: the archive contains 293 minecraft namespace loot tables covering chest, fishing, block, entity, shearing, archaeology, block_interact, gift, and barter types. Examples use set_damage, set_components, weighted pools, nested loot_table entries, random_sequence, and custom item_model components.",partial,"Inference: The broad vanilla-namespace table set appears intended to retune ordinary drops and structure contents, but the purpose and final balance vary by table. Confidence: low.",mixed,high,high,medium,,,,,x,"The system is too broad to approve as one behaviour without table-by-table runtime comparison. Keep unknown or failed mappings on vanilla loot and preserve recoverable source records.","Inventory every caller and pool; chest/entity/block controls; luck and random seeds; rare branches; missing references; vanilla control; absent resource pack; unsupported profile.","Evidence: generated/matcha/1.12/loot-tables.json, cross-references.json, unresolved-references.csv. No complete runtime loot comparison was supplied."
matcha.structures,worldgen,"data/minecraft/worldgen/structure_set/abbey.json;data/minecraft/worldgen/structure/abbey_overgrown.json;data/minecraft/worldgen/structure_set/villages.json;data/minecraft/worldgen/structure/village_desert.json;data/minecraft/structure/abbey/default/entrances/entrance_0.nbt;data/minecraft/structure/village_beta/town_centers/well.nbt;data/minecraft/tags/worldgen/biome/has_structure/abbey_overgrown.json","Static source: 43 structure NBT files include abbey, village_beta, pillager_outpost, and igloo paths. abbey.json random-spreads abbey_overgrown with an exclusion zone around villages. abbey_overgrown is a jigsaw structure using an overgrown tower pool. village_desert and the other village structures use village_beta template pools, and villages.json places five village variants.",substantial,"Inference: The source appears intended to replace or reshape vanilla structure generation while adding abbey and village template families. Confidence: high for the generation hooks, medium for purpose.",mixed,high,high,medium,,,x,,,"World generation is a save-level decision. Keep the conservative Forever posture and do not alter existing chunks or structure references without a migration and disposable-world comparison.","Fresh world generation with fixed seed; locate each entry point; missing pool/reference; existing village preservation; chunk boundaries; Matcha absent and unsupported profile.","Evidence: generated/matcha/1.12/worldgen.json, vanilla-overrides.csv, and cross-references.json. NBT contents were inventoried but not decoded into block/entity observations by the generated report."
matcha.nether,dimensions,"data/main/advancement/hell/root.json;data/main/advancement/tutorial/enter_nether.json;data/main/function/environmental/nether_water.mcfunction;data/main/function/setup/scoreboard.mcfunction;data/crafting/recipe/nether_bricks_from_smelting_netherrack.json;data/minecraft/worldgen/biome/nether_wastes.json","Static source: hell/root and tutorial/enter_nether detect changed_dimension to minecraft:the_nether. setup creates water_bucket_used. nether_water removes water in three bounded volumes around a player matching invalid_nether_water after a water-bucket-use score. A recipe smelts netherrack into nether bricks.",partial,"Inference: The source appears intended to make Nether water handling explicit and to tutorialize Nether entry while retaining some material processing. Confidence: medium.",restricted,high,high,medium,,,x,,,"Override the water safety rule only with exact dimension and event ordering, and keep progression instructions stable when Matcha is absent.","First entry, return, death, portals with multiple players, water bucket controls, recipe control, vanilla Nether control, absent and unsupported Matcha.","Evidence: generated/matcha/1.12/functions.json, advancements.json, recipes.json, and predicates.json. Runtime portal and water observations were not supplied."
matcha.end,dimensions,"data/main/advancement/end/root.json;data/main/advancement/end/kill_dragon.json;data/main/function/mechanic/first_dragon_killed_reward.mcfunction;data/main/advancement/end/smith_bronze_elytra.json;data/main/advancement/end/smith_shakudo_elytra.json;data/smithing_table/recipe/bronze_elytra.json;data/smithing_table/recipe/shakudo_elytra.json","Static source: end/root detects changed_dimension to minecraft:the_end. kill_dragon detects a player kill of ender_dragon and runs first_dragon_killed_reward. That function summons a nether_star at 0 100 0, sets gamerule_safe_surface, and may change difficulty. End advancements and smithing recipes reference bronze and shakudo elytra.",partial,"Inference: The source appears intended to make dragon completion change later surface-spawn behaviour and to add material variants of elytra. Confidence: medium.",mixed,high,high,medium,,,x,,,"Override the dragon reward and flight-related item identity only after ADR 0013 glider tests and a server-authoritative, repeat-safe reward path exist.","First End entry, dragon kill, repeat kill, return, death, multiple players, elytra/rocket control, absent Matcha, and vanilla End control.","Evidence: generated/matcha/1.12/advancements.json, functions.json, recipes.json, and worldgen.json. No runtime dragon or flight trace was supplied."
matcha.weather_environment,environment,"data/main/function/setup/gamerules.mcfunction;data/main/function/environmental/day_cycle_extender.mcfunction;data/main/function/mechanic/sleep.mcfunction;data/main/function/mechanic/set_rain.mcfunction;data/main/function/mechanic/set_clear_weather.mcfunction;data/main/function/environmental/check_freezing_water_conditions.mcfunction;data/main/function/environmental/freezing_water.mcfunction;data/minecraft/tags/worldgen/biome/is_frozen.json","Static source: setup/gamerules disables advance_time. day_cycle_extender adds one time unit and reschedules after 3 ticks. sleep adds 120 time and clears weather for a sleep timer. set_rain and set_clear_weather issue weather commands. Freezing-water checks a frozen-biome tag and applies slowness, darkness, and freeze damage.",substantial,"Inference: The source appears intended to control time progression, sleep weather, and cold-water hazards independently of a climate provider. Confidence: medium.",restricted,high,high,high,,,x,,,"Override only through a climate abstraction and bounded server events. Do not impose season gates or global time assumptions on vanilla worlds.","Clear/rain/thunder, sleep, biome boundary, unloaded area, dimension, freezing protection, two players, vanilla weather control, absent and unsupported Matcha.","Evidence: generated/matcha/1.12/functions.json, tags.json, worldgen.json, and scoreboards.json. No climate runtime trace exists."
matcha.darkness,environment,"data/main/function/environmental/freezing_water.mcfunction;data/main/function/enchantment_effects/cleanse_armor_head.mcfunction;data/main/function/enchantment_effects/cleanse_armor_maleffect.mcfunction;data/main/enchantment/cleanse_armor_head.json;data/main/enchantment/cleanse_armor_maleffect.json","Static source: freezing_water gives minecraft:darkness for five seconds as part of a frozen-water hazard. cleanse_armor_head clears blindness and darkness. cleanse_armor_maleffect clears darkness along with poison, wither, fatigue, weakness, infested, weaving, nausea, oozing, and slowness. No global light threshold or client overlay function was observed.",partial,"Inference: Darkness appears to be a conditional hazard and an equipment-cleansable effect rather than a global visibility rewrite. Confidence: medium.",mixed,medium,medium,medium,,x,,,,"Extend only the confirmed effect interaction. Do not infer a light-level mechanic from the presence of a darkness effect or resource assets.","Boundary light levels, dimensions, freezing water, blindness/darkness effects, alternate resource packs, client settings, two-player comparison, absent and unsupported Matcha.","Evidence: generated/matcha/1.12/functions.json and registry-data.json. Runtime visibility and accessibility effects remain untested."
matcha.multiplayer,multiplayer,"data/main/advancement/multiplayer_support/check_if_new_player_has_joined.json;data/main/function/setup/update_players.mcfunction;data/main/function/setup/scoreboard.mcfunction;data/main/function/setup/ticking_functions.mcfunction;data/main/function/mechanic/wandering_trader/check_wandering_trader_timer_loop.mcfunction","Static source: a location advancement repeatedly rewards setup/update_players. update_players revokes itself, initializes missing version_number, calls setup/scoreboard, and calls the recipe-unlock reset when a player's version is older. Many tick functions iterate @a and then use @p; trader state combines player tags, marker entities, and marker scoreboards.",substantial,"Inference: The source appears intended to repair per-player initialization after joining a running world, but selector and marker scope can cross player boundaries. Confidence: high for the observed scope, low for correct outcome.",mixed,high,high,high,,,x,,,"Override with a server-authoritative lifecycle adapter or narrow per-player bridge. Never rely on a global reload to initialize a joining player.","Two players joining at different times; simultaneous actions; death; ownership; disconnect/rejoin; marker scope; scoreboard scope; vanilla control; absent and unsupported Matcha.","Evidence: generated/matcha/1.12/functions.json, advancements.json, scoreboards.json. Source comments explicitly identify join handling as a concern, but comments are not proof of correctness."
