resource_or_problem,current_vanilla_pressure,common_optimal_farm,why_players_feel_forced,matcha_behavior,active_route,civic_route,technical_route,trade_route,discovery_route,passive_output_cap_needed,nerf_needed,existing_mod_support,custom_work_required,open_questions
"clay","Clay supports bricks, terracotta, pottery, mud construction, and decorative projects. Large palette builds exhaust local deposits.","Mud-to-clay or dripstone clay farm, river excavation, or trading.","Aesthetic building needs clay in bulk, but manual collection is slow and biome-specific, so a farm becomes preparation rather than a creative choice.","Observed recipes include clay from mud and potion and clay balls from clay, plus archaeology and clay statue records. Evidence: generated/matcha/1.12/recipes.json, advancements.json, loot-tables.json. No growth or farm rule is established; runtime growth and farm behaviour are UNKNOWN. Check mud, dripstone, and crop traces.","River, swamp, and archaeology gathering remain valid active routes.","A brickworks, pottery, or mason service can turn a declared clay demand into local stock.","Mud, water, dripstone, and processing systems may be engineered with bounded inputs and storage.","Clay, terracotta, or finished masonry can be traded or shipped.","A first wetland, ruin, or pottery practice can reveal material families and safe processing.","Yes. Saturate at storage or active project demand; never build an unbounded hidden reserve.","No clay-farm nerf before brickworks, trade, and project supply alternatives exist.","Vanilla mud/dripstone routes and Matcha clay recipes are available. Pottery mods are provisional.","Define substitutions and regional supply without making a required aesthetic or architecture style.","How should rare terracotta colours and local clay remain meaningful after home production is established?"
"glass","Glass and panes are consumed by windows, bottles, stations, and many decorative or technical builds. The input chain inherits sand pressure.","Automated furnace array fed by a sand quarry or duplication machine.","Glass is fragile to place manually and appears in large counts, so players feel compelled to industrialise before building.","Observed glass recipes, glass bottle recipes, glass-pane unlocks, and food recipes returning bottles. Evidence: generated/matcha/1.12/recipes.json, advancements.json, assets.json. No special glass production rule is established; runtime production is UNKNOWN. Check furnace, processing, and automated-output traces.","Manual smelting and small glassworks remain useful for early homes and prototypes.","A civic glassworks can fulfil project orders, recycle declared inputs, and provide a local service.","Furnace arrays and processing lines remain a first-class engineering route when fuel, sand, storage, and output handling are real.","Glassmakers can sell or ship panes, bottles, and other finished goods.","A desert, ruin, or old glassworks can reveal recipes and regional palette options.","Yes. Cap automated output by receiving capacity and active demand, not by making furnaces slow for everyone.","Do not nerf glass processing independently of sand alternatives. First make civic works and trade genuinely usable.","Vanilla smelting and Matcha recipe extensions are available. Processing mods are provisional.","Provide recipe-viewer explanations and safe handling of fragile outputs without changing ordinary glass placement.","What output buffer and project-order model makes a glassworks valuable without becoming a required factory?"
"slime","Slimeballs power pistons, leads, sticky blocks, and technical construction. Supply is location- and spawn-dependent.","Slime-chunk farm, swamp farm, or Nether portal farm.","Redstone projects can stop entirely without slime, and locating a viable farm is opaque enough that players often use a guide or a large technical build.","Observed recipes include vanilla slime ball from slime block and a Matcha slime-ball recipe using lime dye and a shulker spawn-egg signature. A slime tag and loot references exist, but no slime spawn balance is established. Evidence: generated/matcha/1.12/recipes.json, tags.json, loot-tables.json. Runtime identity handling is UNKNOWN. Check the exact signature, spawn, and recipe runtime traces.","Swamp exploration, slime hunting, and salvaging slime blocks provide active routes.","A technical workshop or settlement stockroom can prepare redstone orders from declared slime supply.","Slime farms remain first-class, but spawning, output, and storage must be bounded and not feed recursive duplication chains.","Slimeballs and finished components can be traded or shipped after a source is known.","Discovering a swamp, slime chunk, or safe processing recipe can reveal the possibility without demanding a farm immediately.","Yes. Cap passive slime output at storage or technical demand, with no value for overflow.","No spawn nerf before alternate discovery, trade, and workshop supply exist. Avoid touching farms to solve an information problem.","Vanilla slime routes and Matcha slime recipes are available. Technical alternatives are provisional.","Audit disguised inputs exactly and keep unknown signatures on the vanilla-safe path.","Does the Matcha slime recipe represent an intentional alternate route or a disguised identity that must be disabled?"
"prismarine","Prismarine, crystals, and sea lanterns are tied to ocean monuments and large decorative or lighting builds.","Guardian farm, ocean monument clearing, or monument trading.","A single structure supplies both rare building blocks and a technical light source, so builders are pushed into a hostile farm before they can use the palette.","Observed prismarine, dark prismarine, prismarine-brick, and sea-lantern recipes, plus prismarine-shard-to-crystals processing and alloy recipes. No guardian spawn rule is established; guardian output behaviour is UNKNOWN. Check monument, guardian, and farm output traces. Evidence: generated/matcha/1.12/recipes.json, advancements.json, loot-tables.json.","Ocean exploration, monument clearing, and salvaged blocks supply the first stock.","A coastal works or mason can process monument materials into a declared local order.","Guardian farms remain a strong engineering route with real build, spawn, and output-handling costs.","Prismarine blocks, crystals, or finished lights can be traded and shipped from coastal regions.","The first monument or warm-ocean discovery can unlock a palette and a technique without requiring repeat farming.","Yes. Cap passive guardian output by demand and storage. Do not let monument bonuses stack infinitely.","No guardian-farm nerf before coastal trade and masonry alternatives exist. Preserve technical mastery as a valid route.","Vanilla monuments and Matcha processing recipes are available. Ocean and masonry mods are provisional.","Define a bounded structural reward and avoid making one rare structure the only source of all coastal building capability.","How much prismarine should a first monument provide before a farm becomes the efficient but optional specialist path?"
"gold","Gold feeds powered rails, redstone timing, barter, clocks, equipment, and high-value food. Nether farms create enormous surplus.","Zombified piglin or Nether gold farm, sometimes paired with bartering.","Gold is both a technical input and a currency-adjacent material, while a farm can produce more than ordinary projects consume.","Observed raw-gold-to-ingot and golden equipment recipes, powered-rail recipes, and many gold loot references. Matcha difficulty functions set drop_chances for piglins and zombified piglins, but final gold output is UNKNOWN without runtime tests. Check piglin drops, farm rates, and Matcha precedence. Evidence: generated/matcha/1.12/recipes.json, loot-tables.json, functions.json, docs/matcha-audit/system-classification.csv.","Mining, Nether expeditions, and treasure remain active sources.","A railworks, mint, or settlement works can consume gold against declared routes or projects.","Gold farms remain first-class engineering, but bartering, rail demand, and storage must saturate rather than reward infinite AFK.","Gold can be traded, shipped, or exchanged for services with a separate Obol policy.","Nether geology, bastions, and piglin practices can introduce gold and barter knowledge.","Yes. Bound passive gold by storage, barter demand, and rail/project orders.","No blanket gold-farm nerf before rail and economic sinks are usable. Test the Matcha drop override separately from vanilla farm balance.","Vanilla farms, Matcha gold recipes, and piglin-related functions are present. Tech and rail mods are provisional.","Keep gold material identity separate from Obol currency and audit Matcha drop changes behind the adapter.","Which gold sinks are useful enough to absorb output without inventing a mandatory luxury market?"
"copper","Copper serves building, oxidation, tools, wiring, and technical components. Its many forms create processing and storage pressure rather than one simple farm.","Drowned farm, raw-copper mining, or a copper processing line.","Players need large quantities for both aesthetics and machinery, while oxidation variants and tool recipes multiply the stock decisions.","Observed extensive copper content: 151 recipes, 211 asset records, copper tools, patina recipes, and copper-wire/redstone recipes. Many definitions occupy the vanilla namespace, creating high identity and compatibility risk. Evidence: generated/matcha/1.12/recipes.json, assets.json, cross-references.json, vanilla-overrides.csv, system-classification.csv. Farm throughput and oxidation behaviour are UNKNOWN. Check drowned rates, processing, and oxidation traces.","Mining and planned oxidation provide active, visually meaningful supply.","A copperworks can manage oxidation, building orders, and recycling for a settlement.","Drowned farms and processing lines remain first-class with real spawn, energy, storage, and output handling.","Copper forms and finished components can be commissioned or shipped from a works.","A first vein, ruin, or patina technique can reveal the material family and processing choices.","Yes. Cap passive output by active orders and bounded storage, especially for duplicate oxidation states.","Do not nerf copper farms before building and technical alternatives are tested. Prioritise identity conflict and output saturation over blanket scarcity.","Vanilla copper and extensive Matcha recipes are present. Copper-processing mods are provisional.","Use exact Matcha signatures and preserve ordinary copper when the profile or resource pack is absent.","Should oxidation be time-based, service-based, or both, and how will a works avoid becoming mandatory for decorative builds?"
"quartz","Nether quartz supports redstone components, comparators, observers, clocks, and pale construction palettes. It requires repeated Nether travel or bartering.","Nether quartz mining, piglin bartering, or a quarry with Fortune.","Technical builds consume quartz in batches and ordinary mining is exposed to danger, so players feel pushed to a dedicated Nether route or farm.","Observed quartz from Nether-quartz and lapis-related loot references, plus a recipe converting sand to quartz by blasting. Evidence: generated/matcha/1.12/recipes.json, loot-tables.json, advancements.json. No quartz-farm override is established; farm override and runtime conversion behaviour are UNKNOWN. Check sand conversion, quartz mining, and bartering traces.","Nether mining, bastion exploration, and active bartering remain meaningful.","A redstone works or mason can process quartz into declared local orders.","Mining or bartering automation remains valid with real travel, inputs, risk, storage, and output handling.","Quartz and finished redstone parts can be traded or shipped.","A first Nether region or processing discovery can reveal a renewable alternative without requiring a farm.","Yes. Saturate unattended quartz at storage or technical demand.","No quartz-farm nerf before redstone works and trade alternatives exist. Preserve both mining and bartering.","Vanilla Nether routes and Matcha quartz processing are available. Redstone/processing mods are provisional.","Ensure the alternate sand-to-quartz recipe does not become an unbounded conversion loop and expose its inputs clearly.","Should sand-to-quartz be a specialist rescue route, a trade input, or a normal late-game process?"
"food","Food creates continuous hunger, saturation, healing, and travel pressure. Vanilla farms make one food choice dominate because it is cheap and stackable.","Villager crop farm, animal breeder, hoglin farm, or golden-carrot trade loop.","Every player needs food, but the most efficient option is often a farm that runs while the player does something else. Matcha can also change hunger and regeneration globally.","Observed Hunger scoreboard and tick-time hunger effects, with natural regeneration disabled. Matcha also has 128 food recipes and effect-bearing foods such as curry and ramen. Classification marks hunger, healing, and food effects as overrides. Evidence: generated/matcha/1.12/scoreboards.json, functions.json, recipes.json, docs/matcha-audit/system-classification.csv. Final runtime amounts are UNKNOWN. Check hunger, healing, effect stacking, and restart traces.","Hunting, fishing, farming, cooking, and ordinary vanilla food remain viable and understandable.","Communal kitchens, pantries, and settlement meals turn surplus into useful shared stock.","Animal, crop, and cooking automation remain first-class with real feed, space, time, and bounded effect output.","Cooked food, preserved meals, and ingredients can be sold or shipped with trait and freshness labels.","Regional ingredients and preparation discoveries can add knowledge without making ordinary food unusable.","Yes. Cap passive food and effect production at storage, spoilage, or demand. Effects need intensity and duration caps.","Do not nerf food farms before preservation, cooking, and ordinary-food routes work. Matcha's global hunger and healing overrides need explicit compatibility decisions.","Vanilla food and Matcha recipes are present. Cooking and climate mods are provisional for 26.2.","Own stable food traits, preservation, and effect stacking while treating unknown modded food as ordinary food.","Which hunger and effect pressures are intentional, and can every food rule be explained in the Field Guide?"
"crops","Crops supply food, breeding, dyes, trading, and regional ingredients. Growth is passive but usually requires land, water, and repeated harvest handling.","Villager crop farm, bonemeal loop, or large automated planting and harvesting system.","Crops are renewable but time-gated, and one efficient farm can supply both food and emeralds, making farming infrastructure feel compulsory.","Observed recipe-unlock advancements for crops, extensive farmer trade records, and crop references in loot and assets. No crop-growth or climate rule is established by the static audit. Evidence: generated/matcha/1.12/advancements.json, registry-data.json, loot-tables.json. Growth behaviour is UNKNOWN.","Manual gardens, mixed farms, fishing, and foraging remain valid.","A greenhouse, seed library, or communal farm can turn discovered crops into reliable local supply.","Irrigation, planting, and harvesting automation may scale with land, water, energy, and output handling.","Seeds and produce can be sold or imported after the crop is known.","First regional discovery or sample establishes knowledge; cultivation should follow rather than erase the discovery.","Yes. Cap passive harvest by storage and demand, with diminishing value after buffers fill.","No crop-growth nerf before preservation, trade, and cultivation alternatives are usable. Avoid making hunger harder to justify farming changes.","Vanilla farming, Matcha farmer trades, and recipe unlocks are present. Climate and farming mods are provisional.","Define regional discovery, climate adapters, and cross-mod crop tags without adding a one-off integration per crop.","Which crops should be regionally distinctive, and what is the minimum discovery proof before home cultivation?"
"dyes","Dyes support building palettes, banners, concrete, candles, and maps. Some colours require awkward mobs or rare flowers.","Flower farm, squid or glow-squid farm, wither-rose farm, or bone-meal duplication.","A large build may need thousands of one colour, and the technically efficient source can require a specialised farm that has little to do with building.","Observed alternate dye recipes and flower-cloning recipe unlocks after bonemeal, plus dye references in loot. Evidence: generated/matcha/1.12/recipes.json, advancements.json, loot-tables.json. No dye-farm balance rule is established; farm behaviour is UNKNOWN. Check flower, ink, and wither-rose farm traces.","Flower gathering, ink collection, and landscape stewardship remain valid.","A dyeworks or gardener can supply declared palette orders from real plants or mob inputs.","Flower and mob farms remain first-class with bounded output and no infinite structure bonuses.","Dyes and finished coloured blocks can be traded or shipped.","A first biome, flower, or regional colour discovery can widen the palette without prescribing one style.","Yes. Saturate passive dye at storage or project demand, especially with wither-rose and ink farms.","No dye-farm nerf before dyeworks, palette substitution, and trade are usable. Preserve rare colour routes for specialists.","Vanilla dye routes and Matcha alternate recipes are present. Dyeworks and decorative mods are provisional.","Connect blueprint palette categories to functional equivalence, not to a required aesthetic or a generic rarity tier.","How can rare dyes remain interesting without making a player's chosen architectural style expensive by fiat?"
"villager population","Villagers are physically costly to breed, transport, protect, and house, but population often becomes a production input rather than a community.","Villager breeder, curing loop, transport rail, and trading hall.","Many renewable resources depend on villagers, so players build a population machine and accept cramped halls even when they dislike that playstyle.","Observed villager-friend tags, environmental village functions, and many trade records, but no Matcha career, rank, or knowledge field. The reviewed classification is undecided with high persistence and multiplayer risk. Runtime population and mortality behaviour are UNKNOWN. Check breeding, unloading, rejoin, and two-player traces. Evidence: generated/matcha/1.12/tags.json, functions.json, registry-data.json, docs/matcha-audit/system-classification.csv.","Find, transport, and care for a small number of villagers through ordinary play, with survival protection and meaningful relationships.","Homes, schools, workplaces, and settlements give population a civic purpose beyond vending offers.","Automation may handle bounded breeding, transport, and schedules, but unloaded settlements use abstract simulation and never random off-screen death.","A steward can hire or relocate professionals, with solo access and explicit capacity.","Meeting a village, mentor, or regional practice can reveal a career without requiring a hall.","Yes. Cap breeding and service capacity by housing, food, care, and settlement demand rather than by arbitrary global scarcity.","Do not nerf breeders or halls before professional training, workshops, and trade alternatives work. First remove the forced dependency, not the player's chosen farm.","Vanilla villagers and Matcha trade records are present. Career and settlement mods are provisional.","Create persistent career and mortality boundaries with versioned records, bounded simulation, and no player-proximity credit.","What population size makes a settlement feel alive while preventing villagers from becoming a pure throughput multiplier?"
"villager trades","Villager trades provide renewable tools, books, food, blocks, and emeralds. Discounts and restocks make halls exceptionally efficient.","Trading hall with curing discounts, profession control, and restock infrastructure.","A player can replace mining, farming, and exploration with a compact hall that supplies too many unrelated capabilities at once.","Observed 290 registry-data records and trade sets including high-volume offers such as one emerald for 64 comparators and cartographer exploration maps. Trade-set loading, restock, discounts, and per-villager scope are explicitly UNKNOWN in the audit. Check offer creation, restock, unload, and ordinary-vanilla traces. Evidence: generated/matcha/1.12/registry-data.json, tags.json, cross-references.json, docs/matcha-audit/system-classification.csv.","Trading remains a useful active negotiation and service, not the only way to get books or materials.","Professionals operate from real workplaces and settlement demand, with rest, capacity, and knowledge that can be taught.","Technical item supply can produce components directly, so trade is not the mandatory entrance to redstone or building.","Trade is a first-class route with willingness-to-pay, finite offers, visible restock, and no requirement for another player.","Cartographers and mentors can reveal maps, techniques, and broad leads rather than exact artifact checklists.","Yes. Cap passive trade output through offer uses, storage, demand, and service capacity. AFKing beside a hall should saturate.","No blanket villager-trade nerf before direct production, professional training, and commerce alternatives work. Matcha trade loading needs a separate compatibility decision.","Vanilla trading and Matcha trade definitions are present. Villager and economy mods are provisional.","Own stable offer identity, restock, discounts, and migration without copying Matcha private paths into core systems.","Which offers are genuinely specialist services, and which cross-domain offers recreate the exact checklist dominance this matrix is meant to remove?"
