capability_id,capability_name,essentiality,player_benefit,adventure_route,civic_route,mastery_route,technical_route,economic_route,dependencies,existing_mod_candidate,custom_integration_required,balance_risk,status,notes
"mount_cargo","Mount cargo","Convenience","A horse or pack animal can carry useful freight on roads and overland trips without becoming a universal storage or flight system.","Finding and bonding with a suitable animal is a meaningful early exploration route.","A stable, paddock, or waystation provides care, loading, and safe hand-off.","Rider or Animal Handler mastery improves handling, load planning, and terrain choices.","Cargo harnesses or loading stations can streamline transfer while respecting entity capacity and care.","A carrier or stable service can move goods along a registered road for a visible cost.","Animal rules; route registration; physical cargo containers; welfare and failure handling.","Animal and horse-cargo mod candidate TBD (provisional).","Yes: cargo identity, capacity, and route/logistics hand-off.","Medium","Planned, not implemented","A mount's advantage is contextual. It is not a boat, rail service, warehouse, or vertical flight replacement."
"bedroll_travel","Bedroll travel","Convenience","Field travel becomes safer and less interruptive without turning every bedroll into an instant teleport or a risk-free respawn exploit.","An expedition can discover a camp practice and carry a limited bedroll.","Inns, camps, and settlements can provide valid rest points and recovery services.","Explorer or Rider technique can improve camp placement and route confidence.","Server-authoritative rest and respawn rules validate dimension, danger, ownership, and cooldown state.","A traveller can pay for an inn or camp service, while solo use remains viable.","Death and respawn policy; route knowledge; bedroll item state; world-save safety.","Comforts-style bedroll mod candidate (provisional).","Yes: safe respawn projection and interaction with journey skipping.","High","Planned, not implemented","Bedroll convenience must not erase first-trip geography or make death consequences unknowable."
"weather_prediction","Weather prediction","Convenience","Players can plan work, travel, crops, and expeditions using a forecast that is useful without making weather irrelevant.","Observation of local patterns and landmarks teaches the first forecast signs.","A weather station, observatory, or civic calendar publishes a local forecast.","Naturalist or Mariner technique improves forecast confidence and interpretation.","Sensors or climate data can produce bounded forecasts without permanent chunk-wide scans.","A forecaster or caravan service can sell a route-specific warning or schedule.","Climate abstraction; season/weather adapter; local station registration; Field Guide explanation.","Serene Seasons climate adapter (provisional).","Yes: stable forecast vocabulary and safe no-op fallback for absent weather mods.","Medium","Planned, not implemented","Forecasts should describe uncertainty and region scope. They are not passive percentage-stat buffs."
"road_registration","Road registration","Convenience","A useful path becomes an inspectable, serviceable route for cargo and later journey skipping without making ordinary paths require registration.","A survey expedition records markers, hazards, and a traversed corridor.","A settlement or outpost registers a functional connection between named markers.","Cartographer or Builder technique can improve survey quality and route documentation.","A bounded corridor check caches validation and invalidates on known changes rather than scanning continuously.","A carrier can offer a paid road service with capacity and maintenance terms.","Explicit route records; marker identities; bounded validation; settlement graph; world save.","Vanilla markers plus route integration; transport mod candidate TBD (provisional).","Yes: route registry, cached evidence, invalidation, and described failure results.","High","Planned, not implemented","Registration evaluates function, not architecture. Unregistered vanilla paths remain fully usable."
"passenger_rail","Passenger rail","Convenience","A validated fixed route can carry people reliably and eventually beat flight for repeated journeys without erasing geography on the first trip.","The player discovers stations and physically travels the line before any skip is available.","Stations, platforms, shelter, and settlement connections give the line a civic home.","Engineer or Cartographer mastery improves survey, service planning, and maintenance evidence.","Bounded station-to-station graph validation provides service capacity and detects broken links safely.","A rail operator can provide fares, schedules, and passenger service without another player being online.","Rail graph; station capabilities; route registration; journey-skipping gate; freight boundary.","Vanilla rail or Create rail candidate (provisional for 26.2).","Yes: service validation, fares, route history, and server-authoritative passenger outcomes.","High","Planned, not implemented","Rail must win on repeated fixed routes through reliability, capacity, or service time, not by disabling walking."
"port_travel","Port travel","Convenience","Rivers, coasts, and oceans become useful travel corridors with a service layer for passengers and freight.","A first voyage discovers navigable water, hazards, and a destination port.","A port, dock, lighthouse, and warehouse provide a civic connection.","Mariner or Fisher technique improves route reading, loading, and weather decisions.","Boat handling, schedules, and bounded route checks can support service without forcing loaded chunks.","A shipping service can charge for a real passage or move cargo through receiving buffers.","Water continuity; ports; weather; route registry; physical cargo; logistics state machine.","Small Ships or other boat mods are provisional until 26.2 and server behaviour are verified.","Yes: port registration, service records, and freight/passenger hand-off.","Medium","Planned, not implemented","Port travel complements rail and roads. It must not be a disguised instant teleport menu."
"portal_freight","Portal freight","Specialization","A deliberately built cross-dimensional depot can move real cargo while preserving dimension boundaries and avoiding a magical universal warehouse.","Exploration discovers and safely traverses the relevant portal pair.","A portal depot is a registered civic facility with receiving space and safety rules at both ends.","Logistics or Engineer mastery can document compatible cargo handling and failure recovery.","A bounded portal adapter validates both endpoints and transfers physical stacks through durable shipment states.","A merchant can quote inter-dimensional freight with capacity, cost, and visible service time.","ADR 0012; logistics state machine; portal endpoints; durable cargo; cross-dimension validation.","No off-the-shelf universal warehouse selected; portal/logistics mod candidates are provisional.","Yes: cross-dimension authority, crash recovery, and no magical withdrawal.","High","Planned, not implemented","This is a specialised infrastructure option. It cannot be a silent shortcut around route construction or storage safety."
"building_assistance","Building assistance","Convenience","Large deliberate construction becomes less repetitive while the player still chooses the design, supplies real materials, and retains normal placement freedom.","A found plan, ruin, or observed technique can teach an optional construction method.","A declared civic project gives the assistance a site, purpose, and functional validation.","Builder or Mason mastery can improve technique and repeatable details without making a style mandatory.","Server-authoritative batching, bounded shapes, palette replacement, storage reservations, and tool costs make scale safe.","A contractor or material supplier can support a project using real stock and a visible work order.","Ghost-plan format; project validation; physical inventories; server permissions; equipment condition.","Effortless Building, Litematica, WorldEdit, and Construction Wand are all provisional candidates. See building-assistance.md.","Yes: unify limits, material consumption, authority, accessibility, and project outcomes around existing tools.","High","Planned, not implemented","Assistance is optional. No structure registration, Builder specialisation, or blueprint may gate ordinary block placement."
"schematic_use","Schematic use","Convenience","A player can preview, inspect, rotate, mirror, and manually build a plan without the plan printing itself into the world.","A plan is discovered, authored, or recovered as knowledge during exploration.","A library, workshop, or settlement archive can store and explain plans.","Builder or Mason practice can teach palette substitutions and functional adaptation.","A validated importer can bound volume, reject unsafe data, and translate formats without granting creative permissions.","A designer can commission a plan or sell a documented pattern while material ownership stays explicit.","Schematic parser; ghost rendering; palette categories; project scope; server authority; licence review.","Litematica/.litematic and WorldEdit/.schem candidates are provisional; exact 26.2 format tests are required.","Yes: safe format translation, project identity, and server-side material/cost checks.","High","Planned, not implemented","A schematic is a plan, not an item printer. Format support must never import hidden entities, unsafe commands, or free materials."
"last_light","Last Light","Prestige","Retain the pivot's named late-world legacy or illumination outcome without making its undefined meaning an accidental progression gate.","Could be a first-discovery narrative or world-history reward once its meaning is specified.","Could be a memorial, beacon, or civic legacy outcome once its owner and validation are accepted.","Could record a significant chronicle technique, but must not be a repeat counter.","Could use a bounded world-history record, but no implementation contract currently exists.","Could be commissioned or patronised if the future design makes it a public legacy rather than a private power.","A dedicated specification and ADR are missing; likely world chronicle and exploration dependencies.","UNKNOWN. No existing project or Matcha candidate is verified.","Yes, pending an explicit definition and ticket.","Low","Decision debt, not implemented","The current repository does not define Last Light. It is deliberately Prestige and cannot gate materials, repair, travel, or ordinary building until a specification resolves the term."
"heirloom_recovery","Heirloom recovery","Convenience","A named, historically important item can be located or reclaimed after loss without creating duplicate copies or deleting unrelated inventory data.","A recovery expedition can follow a last-known location, witness, or physical trail.","A home archive, memorial, or settlement registry can preserve recovery information.","Equipment-history evidence identifies why an item matters without rewarding repetitive loss.","A durable locator and atomic transaction reconcile item state across death, containers, shipments, and restart.","An insurer, courier, or recovery contract can provide a visible service with real limits.","Equipment history; world chronicle; death handling; storage and shipment reconciliation.","No existing candidate verified; custom connective system required.","Yes: identity, recovery state, and duplication-safe reconciliation.","High","Planned, not implemented","Recovery is not a free replacement. If the original cannot be safely identified, the system must surface uncertainty rather than guess."
"advanced_masonry","Advanced masonry","Specialization","A mason can produce efficient, precise, and varied structural details without imposing a single architectural theme on every settlement.","A regional ruin, quarry, or mentor can reveal a masonry technique or material relationship.","A mason's workshop and a functional building project provide a place to practise and apply it.","Mason mastery rewards breadth across materials, functions, scales, and terrain rather than block-count repetition.","Cutting, shaping, and palette tools can scale output while consuming real materials and tool condition.","A professional mason can be commissioned to make details or supply prepared components.","Builder/Mason mastery; projects; palette substitution; material data; Field Guide.","Architectural block and masonry mods are provisional; no specific 26.2 candidate is selected.","Yes: capability unlocks, guide entries, and functional rather than aesthetic validation.","Medium","Planned, not implemented","Advanced does not mean universally best. Vanilla blocks, styles, and manual placement remain first-class."
"professional_training","Professional training","Specialization","Villagers and players can develop repeatable skills and institutional knowledge without requiring a trading hall or another human player.","An expedition can find a mentor, school, guild, or regional practice.","A school, workplace, workshop, or settlement can host training and preserve taught knowledge.","A player can demonstrate breadth, technique, and project outcomes to qualify for training.","Schedules and training queues use bounded abstract simulation when unloaded, with no permanent chunk loading.","A trainer can be hired or a course commissioned, with clear price, duration, and outcome.","Villager career state; institutional knowledge; settlement/workplace graph; data-driven curricula.","Villager-career mod candidate TBD (provisional); custom connective layer required.","Yes: server-authoritative career records, migration, and bounded simulation.","High","Planned, not implemented","Training creates repeatability, not passive percentage-stat stacking. Knowledge may outlive a villager only when it was taught."
"fast_travel_established_routes","Fast travel through established routes","Convenience","Repeated trips can eventually become routine enough to skip after the world has physically learned and built the service.","Both endpoints are discovered and the route is physically travelled before skipping is available.","A road, rail line, port, or depot is built, registered, maintained, and given a service home.","Cartographer or Steward evidence can explain route confidence and missing proofs.","Cached route validation and explicit invalidation prevent continuous world scans and stale teleport permissions.","A fare, schedule, or shipment service makes the skip a real route operation rather than a free coordinate jump.","ADR 0010; ADR 0018; route graph; endpoint discovery; service validity; world save.","Rail/route mod candidates are provisional. Waystones-like immediate teleport is not an approved baseline.","Yes: proof ledger, service cost, failure reason, and server-authoritative outcome.","High","Planned, not implemented","Fast travel never creates discoveries, goods, or cross-dimensional access that the player has not physically established."
"regional_map_sharing","Regional map sharing","Convenience","Knowledge can travel between people and settlements without forcing every player to repeat every expedition or exposing exact artifact coordinates by default.","A charted landmark or route creates the first map fact.","Cartographic archives and settlement records can share broad regional knowledge.","Explorer or Cartographer mastery improves confidence, annotation, and interpretation.","A bounded map index stores family tags and evidence references rather than scanning the world for all points of interest.","A cartographer or merchant can sell a map, rumour, or route lead with visible confidence.","Exploration ledger; Field Guide; map data; broad region-family tags; privacy and sharing rules.","Map and journey mods are provisional; no 26.2 candidate is selected.","Yes: stable knowledge concepts and safe sharing without leaking Matcha internals.","Medium","Planned, not implemented","Maps should communicate region families and confidence. They are not a linear checklist of exact coordinates."
"physical_freight_transfer","Physical freight transfer","Convenience","A remote request moves actual goods through reservations, cargo, routes, buffers, and receiving actions rather than making items appear.","An expedition can establish a source, destination, and usable route.","Warehouses, depots, stations, and receiving buffers give freight a physical civic home.","Merchant or Logistics mastery can improve planning and exception handling.","A durable, idempotent shipment state machine handles bounded transfers and restart recovery.","A carrier or merchant can price capacity, time, and service quality using real inventories.","Storage source of truth; logistics state machine; route registration; shipment persistence.","Storage and logistics mod candidates TBD (provisional); custom connective system required.","Yes: reservations, manifests, crash recovery, and duplication resistance.","High","Planned, not implemented","Freight can be convenient but never magical. Cross-dimension freight requires a separate Portal Depot capability."
"bounded_passive_production","Bounded passive production","Convenience","Passive systems reduce repetitive waiting while remaining bounded by storage, demand, inputs, and sharply diminishing unattended value.","A discovery can reveal a production possibility or a regional input.","A registered works, farm, or settlement demand gives passive output a purpose and receiving capacity.","Producer mastery improves design and adaptation, not an infinitely stacking output multiplier.","Engineered production may reach high throughput with real inputs, infrastructure, design, and output handling.","A merchant or warehouse can create orders that absorb output, with saturation visible to the player.","Farm-pressure policy; storage and demand caps; machine inputs; output handling; metrics.","Create and other technical production mods are provisional until 26.2 balance is measured.","Yes: common cap vocabulary and cross-mod telemetry, not a custom replacement for every machine.","High","Planned, not implemented","This is a balancing capability, not permission to AFK forever. Engineering is a good route, not the mandatory entrance fee."
"blueprint_palette_substitution","Blueprint palette substitution","Convenience","A plan can adapt to available or regional materials while preserving function and showing every substitution before placement.","A regional building style or recovered plan can introduce compatible material families.","A project declares acceptable primary wall, secondary wall, trim, roof, floor, window, and foundation alternatives.","Builder or Mason technique can judge functional equivalence and record deliberate choices.","A server validator resolves substitutions, counts real stacks, and rejects unsafe or ambiguous mappings.","A designer or supplier can prepare a palette for a commission without forcing one theme.","Schematic parser; palette categories; project validation; material tags; Field Guide.","Effortless Building, Litematica, and WorldEdit are provisional candidates for different layers.","Yes: category semantics, previews, costs, and server validation.","Medium","Planned, not implemented","No architecture style is mandatory. Palette categories describe function, not a prescribed appearance."
"food_trait_knowledge","Readable food trait knowledge","Specialization","Cooks and alchemists can make regional ingredients understandable and useful without opaque recipe puzzles or unlimited effect stacking.","Discovering an ingredient or preparation reveals its traits and a documented process.","A kitchen, pantry, or communal meal makes knowledge useful to a settlement.","Cook or Herbalist mastery develops combinations and safe technique through breadth and projects.","A recipe system exposes bounded duration, intensity, conflicts, and contraindications.","A cook, apothecary, or merchant can sell prepared food with readable properties.","Food trait vocabulary; Field Guide; recipe viewer; climate and ingredient adapters.","Cooking and alchemy mods are provisional; no 26.2 candidate is selected.","Yes: stable trait mapping and bounded effect outcomes.","High","Planned, not implemented","Traits are named functions, not generic rarity tiers or passive percentage trinkets. Ordinary vanilla food remains useful."
"settlement_outpost_registration","Settlement and outpost registration","Convenience","A building or remote outpost can become a recognised functional node for storage, routes, rest, or services without requiring a theme or a circular claim area.","An expedition can establish a remote outpost at a meaningful landmark.","A settlement registers buildings, work sites, storage, and connections as a graph.","Builder or Steward projects can demonstrate function and maintain the record.","Bounded validation checks only declared capabilities and caches the result.","A steward can charter, supply, or insure an outpost through visible costs and permissions.","Settlement graph; registered buildings; route markers; storage and service capabilities.","No existing candidate verified; custom connective system required.","Yes: graph records, validation, persistence, and safe invalidation.","High","Planned, not implemented","Registration adds services. It never becomes a prerequisite for ordinary block placement or basic survival."
